city_name,apparent_temperature_max,apparent_temperature_min
Copenhagen,20.0,14.3
Copenhagen,20.0,17.0
Copenhagen,21.6,16.4
Copenhagen,22.4,15.6
Copenhagen,18.3,14.3
Copenhagen,22.2,14.3
Copenhagen,23.3,16.9
Copenhagen,25.3,18.0
Copenhagen,30.3,19.4
Copenhagen,29.1,21.3
Copenhagen,32.2,20.4
Copenhagen,26.8,18.1
Copenhagen,18.0,14.2
Copenhagen,20.1,13.2
Copenhagen,17.7,13.9
Copenhagen,21.0,13.6
Copenhagen,19.5,13.0
Copenhagen,22.3,13.8
Copenhagen,23.7,16.1
Copenhagen,23.5,16.8
Copenhagen,26.7,20.1
Copenhagen,24.9,19.1
Copenhagen,21.1,17.4
Copenhagen,16.5,10.9
Copenhagen,17.3,11.7
Copenhagen,17.0,12.1
Copenhagen,16.3,11.5
Copenhagen,16.7,10.4
Copenhagen,16.4,12.2
Copenhagen,18.9,12.0
Copenhagen,21.1,11.3
Copenhagen,19.7,13.7
Copenhagen,18.8,14.2
Copenhagen,18.7,15.0
Copenhagen,17.5,14.3
Copenhagen,17.4,14.0
Copenhagen,18.8,13.4
Copenhagen,20.3,12.4
Copenhagen,22.8,13.5
Copenhagen,16.7,12.4
Copenhagen,17.2,12.3
Copenhagen,15.9,11.3
Copenhagen,13.6,9.2
Copenhagen,12.9,9.7
Copenhagen,14.1,10.6
Copenhagen,15.3,10.3
Copenhagen,16.4,10.4
Copenhagen,19.1,8.3
Copenhagen,19.3,9.8
Copenhagen,16.7,9.0
Copenhagen,17.3,10.8
Copenhagen,11.7,9.6
Copenhagen,16.8,10.7
Copenhagen,14.1,12.1
Copenhagen,17.3,13.2
Copenhagen,18.3,12.2
Copenhagen,18.7,11.3
Copenhagen,20.6,13.0
Copenhagen,19.7,12.6
Copenhagen,20.6,11.4
Copenhagen,14.8,10.7
Copenhagen,14.1,9.4
Copenhagen,16.5,10.6
Copenhagen,19.2,12.2
Copenhagen,21.2,14.5
Copenhagen,20.8,14.7
Copenhagen,21.0,14.7
Copenhagen,21.0,16.4
Copenhagen,18.1,13.4
Copenhagen,16.1,11.9
Copenhagen,16.2,13.6
Copenhagen,14.9,13.0
Copenhagen,17.9,13.7
